URL,Destination,engine,transmission,Gear,Market,Year,model,make,Frame
https://www.toyodiy.com/parts/g_U_2020_TOYOTA_4RUNNER_GRN280L-GKAGKA.html, UNITED STATES OF AMERICA,4000CC 24-VALVE DOHC EFI,AUTOMATIC TRANSMISSION,"ATM, 5-SPEED FLOOR SHIFT",N. America,2020,4RUNNER,TOYOTA,GRN280
https://www.toyodiy.com/parts/g_U_2020_TOYOTA_4RUNNER_GRN285L-GKAGKA.html, UNITED STATES OF AMERICA,4000CC 24-VALVE DOHC EFI,AUTOMATIC TRANSMISSION,"ATM, 5-SPEED FLOOR SHIFT",N. America,2020,4RUNNER,TOYOTA,GRN285
https://www.toyodiy.com/parts/g_U_2020_TOYOTA_4RUNNER_GRN280L-GKAGKA.html, UNITED STATES OF AMERICA,4000CC 24-VALVE DOHC EFI,AUTOMATIC TRANSMISSION,"ATM, 5-SPEED FLOOR SHIFT",N. America,2020,4RUNNER,TOYOTA,all
https://www.toyodiy.com/parts/g_U_2020_TOYOTA_4RUNNER_GRN285L-GKAGKA.html, UNITED STATES OF AMERICA,4000CC 24-VALVE DOHC EFI,AUTOMATIC TRANSMISSION,"ATM, 5-SPEED FLOOR SHIFT",N. America,2020,4RUNNER,TOYOTA,all
https://www.toyodiy.com/parts/g_U_2020_TOYOTA_86_ZN6GY-C7.html, UNITED STATES OF AMERICA,2000CC 16-VALVE DOHC,MANUAL TRANSMISSION,"ATM, 6-SPEED FLOOR SHIFT",N. America,2020,86,TOYOTA,ZN6
https://www.toyodiy.com/parts/g_U_2020_TOYOTA_86_ZN6GY-E7.html, UNITED STATES OF AMERICA,2000CC 16-VALVE DOHC,MANUAL TRANSMISSION,"ATM, 6-SPEED FLOOR SHIFT",N. America,2020,86,TOYOTA,ZN6
https://www.toyodiy.com/parts/g_U_2020_TOYOTA_86_ZN6GY-F7.html, UNITED STATES OF AMERICA,2000CC 16-VALVE DOHC,MANUAL TRANSMISSION,"ATM, 6-SPEED FLOOR SHIFT",N. America,2020,86,TOYOTA,ZN6
https://www.toyodiy.com/parts/g_U_2020_TOYOTA_86_ZN6GY-G7.html, UNITED STATES OF AMERICA,2000CC 16-VALVE DOHC,MANUAL TRANSMISSION,"ATM, 6-SPEED FLOOR SHIFT",N. America,2020,86,TOYOTA,ZN6
https://www.toyodiy.com/parts/g_U_2020_TOYOTA_86_ZN6GY-H7.html, UNITED STATES OF AMERICA,2000CC 16-VALVE DOHC,MANUAL TRANSMISSION,"ATM, 6-SPEED FLOOR SHIFT",N. America,2020,86,TOYOTA,ZN6
https://www.toyodiy.com/parts/g_U_2020_TOYOTA_86_ZN6HY-C7.html, UNITED STATES OF AMERICA,2000CC 16-VALVE DOHC,MANUAL TRANSMISSION,"ATM, 6-SPEED FLOOR SHIFT",N. America,2020,86,TOYOTA,ZN6
